S.no; Stock Id;Image; Brand; Rating; Number of ratings; Description; features; Price; Offers; Shipping Price;
21;stock_9SIA6V6DE20230;https://c1.neweggimages.com/ProductImageCompressAll300/14-487-448-V01.jpg;EVGA;Rating + 4;63;EVGA GeForce GTX 1660 SC ULTRA GAMING, 06G-P4-1067-KR, 6GB GDDR5, Dual Fan, Metal Backplate;['Max Resolution: 7680 x 4320', 'DisplayPort: 1 x DisplayPort 1.4', 'DVI: 1 x Dual-Link DVI-D', 'HDMI: 1 x HDMI 2.0b', 'Model #: 06G-P4-1067-KR', 'Item #: 9SIA6V6DE20230', 'Return Policy: View Return Policy'];$549.99 –;null;Free Shipping
22;stock_9SIAPMXD033672;https://c1.neweggimages.com/ProductImageCompressAll300/14-126-359-V01.jpg;ASUS;Rating + 4;115;ASUS TUF Gaming GeForce GTX 1660 SUPER Overclocked 6GB Edition HDMI DP DVI Gaming Graphics Card (TUF-GTX1660S-O6G-GAMING);['Core Clock: 1530 MHz', 'Max Resolution: 7680 x 4320', 'DisplayPort: 1 x DisplayPort 1.4', 'DVI: 1 x DVI-D', 'Model #: TUF-GTX1660S-O6G-GAM', 'Return Policy: View Return Policy'];$546.99;6 Offers–;Free Shipping
23;stock_9SIAPMXD0X6127;https://c1.neweggimages.com/ProductImageCompressAll300/14-932-285-V02.jpg;GIGABYTE;Rating + 5;6;GIGABYTE GeForce RTX 2070 SUPER DirectX 12 GV-N207SWF3-8GC 8GB 256-Bit GDDR6 PCI Express 3.0 x16 SLI Support ATX Video Card;['Core Clock: 1770 MHz', 'Max Resolution: 7680 x 4320 @ 60 Hz', 'DisplayPort: 3 x DisplayPort 1.4', 'HDMI: 1 x HDMI 2.0b', 'Model #: GV-N207SWF3-8GC', 'Return Policy: View Return Policy'];$929.99;2 Offers–;Free Shipping
24;stock_9SIAMHYD6K1096;https://c1.neweggimages.com/ProductImageCompressAll300/14-932-174-V01.jpg;GIGABYTE;Rating + 4;41;GIGABYTE GeForce RTX 2060 Super WINDFORCE OC 8G Graphics Card, 2 x WINDFORCE Fans, 8GB 256-Bit GDDR6, GV-N206SWF2OC-8GD Video Card;['Core Clock: 1680 MHz', 'Max Resolution: 7680 x 4320 @ 60 Hz', 'DisplayPort: 3 x DisplayPort 1.4', 'HDMI: 1 x HDMI 2.0b', 'Model #: GV-N206SWF2OC-8GD', 'Item #: 9SIAMHYD6K1096', 'Return Policy: View Return Policy'];$1,424.99 –;null;Free Shipping
25;stock_9SIAGKCCAR0933;https://c1.neweggimages.com/ProductImageCompressAll300/14-126-311-V01.jpg;ASUS;Rating + 4;20;ASUS TUF Gaming GeForce RTX 2060 OC Edition 6GB GDDR6 VR Ready HDMI 2.0b DP 1.4 Auto Extreme Graphics Card (TUF-RTX2060-O6G-GAMING);['Core Clock: 1395 MHz (OC mode)\n1365 MHz (Gaming mode)', 'Max Resolution: 7680 x 4320', 'DisplayPort: 1 x DisplayPort 1.4', 'DVI: 1 x DL-DVI-D', 'Model #: TUF-RTX2060-O6G-GAMI', 'Item #: 9SIAGKCCAR0933', 'Return Policy: View Return Policy'];$649.99 –;null;$45.00 Shipping
26;stock_9SIAGBAD3H1289;https://c1.neweggimages.com/ProductImageCompressAll300/14-932-298-V03.jpg;GIGABYTE;Rating + 4;79;GIGABYTE GeForce GTX 1650 DirectX 12 GV-N1656OC-4GL 4GB 128-Bit GDDR6 PCI Express 3.0 x16 Low Profile Ready Video Card;['Core Clock: 1620 MHz', 'Max Resolution: 7680 x 4320 @ 60 Hz', 'DisplayPort: 1 x DisplayPort 1.4', 'DVI: 1 x Dual-link DVI-D', 'Model #: GV-N1656OC-4GL', 'Return Policy: View Return Policy'];$369.90;3 Offers–;Free Shipping
27;stock_14-126-461;https://c1.neweggimages.com/ProductImageCompressAll300/14-126-461-01.jpg;ASUS;Rating + 5;45;ASUS TUF Gaming GeForce RTX 3070 DirectX 12 TUF-RTX3070-O8G-GAMING 8GB 256-Bit GDDR6 PCI Express 4.0 HDCP Ready Video Card;['Max Resolution: 7680 x 4320', 'DisplayPort: 3 x DisplayPort 1.4a', 'HDMI: 2 x HDMI 2.1', 'Card Dimensions (L x H): 11.81" x 5.00"', 'Model #: TUF-RTX3070-O8G-GAMI', 'Item #: N82E16814126461', 'Return Policy: Replacement Only Return Policy'];$659.99 –;null;$6.99 Shipping
28;stock_14-137-612;https://c1.neweggimages.com/ProductImageCompressAll300/14-137-612-V01.jpg;MSI;Rating + 4;28;MSI GeForce RTX 3060 Ti DirectX 12 RTX 3060 Ti VENTUS 2X OC 8GB 256-Bit GDDR6 PCI Express 4.0 HDCP Ready Video Card;['Max Resolution: 7680 x 4320', 'DisplayPort: 3 x DisplayPort 1.4', 'HDMI: 1 x HDMI 2.1', 'Card Dimensions (L x H): 9.13" x 4.88"', 'Model #: RTX3060TiVENTUS2XOC', 'Item #: N82E16814137612', 'Return Policy: Replacement Only Return Policy'];$599.99 –;null;$9.99 Shipping
29;stock_14-126-458;https://c1.neweggimages.com/ProductImageCompressAll300/14-126-458-01.jpg;ASUS;Rating + 5;22;ASUS ROG Strix GeForce RTX 3070 DirectX 12 ROG-STRIX-RTX3070-O8G-GAMING 8GB 256-Bit GDDR6 PCI Express 4.0 HDCP Ready Video Card;['Max Resolution: 7680 x 4320', 'DisplayPort: 3 x DisplayPort 1.4a', 'HDMI: 2 x HDMI 2.1', 'Card Dimensions (L x H): 12.53" x 5.51"', 'Model #: STRIX-RTX3070-O8G-GA', 'Item #: N82E16814126458', 'Return Policy: Replacement Only Return Policy'];$719.99 –;null;$8.99 Shipping
30;stock_14-487-532;https://c1.neweggimages.com/ProductImageCompressAll300/14-487-532-01.jpg;EVGA;Rating + 4;13;EVGA GeForce RTX 3070 FTW3 ULTRA GAMING Video Card, 08G-P5-3767-KR, 8GB GDDR6, iCX3 Technology, ARGB LED, Metal Backplate;['Max Resolution: 7680 x 4320', 'DisplayPort: 3 x DisplayPort 1.4a', 'HDMI: 1 x HDMI 2.1', 'Card Dimensions (L x H): 11.81" x 5.38"', 'Model #: 08G-P5-3767-KR', 'Item #: N82E16814487532', 'Return Policy: Replacement Only Return Policy'];$899.99 –;null;$9.99 Shipping
